# InP diameter (nm)         nExc        ExcE (eV)        Reorg_E (meV)
6.1       127       2.069722      0.465991
6.1       128       2.075808      0.441750
6.1       129       2.075809      0.475433
6.1       130       2.075809      0.526486
6.1       131       2.077527      1.115955
6.1       132       2.078031      0.686058
6.1       133       2.078041      0.693399
6.1       134       2.078041      0.724636
6.1       135       2.079133      0.337342
6.1       136       2.081066      0.461293
6.1       137       2.081067      0.483402
6.1       138       2.081067      0.441492
6.1       139       2.081557      0.255590
6.1       140       2.082120      0.478719
6.1       141       2.082129      0.480532
6.1       142       2.084953      0.507016
6.1       143       2.084953      0.476814
6.1       144       2.084954      0.507684
6.1       145       2.086670      0.495379
6.1       146       2.086686      0.495898
6.1       147       2.090318      0.910600
6.1       148       2.090319      0.893403
6.1       149       2.090319      0.912368
